sample_id	predicted_ancestry	given_ancestry	EAS_prob	AFR_prob	AMR_prob	SAS_prob	EUR_prob	PC1	PC2	PC3	PC4	PC5
NA19214	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-62.7863	18.4373	1.9095	1.1857	4.4731
NA18989	EAS	EAS	0.9998	0.0002	0.0000	0.0000	0.0000	8.0872	42.6778	0.2157	-4.6595	-3.0246
HG02628	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-61.5910	18.0912	2.7919	-0.9085	2.9174
HG01873	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	6.1820	43.5533	0.9690	-7.9162	7.4729
HG00182	EUR	EUR	0.0000	0.0000	0.0004	0.0000	0.9996	1.2657	-11.1759	-4.5811	-6.4629	-5.6604
HG01599	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	7.1086	43.0002	1.2469	-6.0430	5.8852
HG00133	EUR	EUR	0.0000	0.0000	0.0022	0.0000	0.9978	0.2529	-13.1638	-2.7370	-8.1663	6.3260
NA19327	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-57.9240	16.5723	2.6649	-1.3705	-0.4633
NA12890	EUR	EUR	0.0000	0.0000	0.0032	0.0000	0.9968	0.4816	-12.8057	-2.7861	-7.5327	2.7605
HG03054	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-63.3290	15.7819	1.2548	1.5867	1.8427
HG01311	AMR	AMR	0.0003	0.0094	0.9881	0.0021	0.0001	-5.8333	-5.8996	-3.8127	-2.6499	3.5108
NA19440	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-59.3795	15.0225	2.1579	-1.8663	2.3387
HG04118	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-1.2018	5.5822	24.8081	4.3266	0.5820
HG00103	EUR	EUR	0.0000	0.0000	0.0102	0.0000	0.9898	0.2888	-11.1365	-3.4294	-7.7966	2.3223
HG04042	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-1.5781	7.6624	22.5976	7.0051	-0.3321
NA18558	EAS	EAS	0.9998	0.0002	0.0000	0.0000	0.0000	7.2109	42.0856	0.4941	-3.7620	-3.3976
NA19131	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-62.6299	17.0124	1.5686	-0.7226	2.7769
NA19725	AMR	AMR	0.0000	0.0001	0.9999	0.0000	0.0000	-0.9465	0.4884	-10.8256	7.4537	6.8105
HG03235	SAS	SAS	0.0000	0.0001	0.0000	0.9999	0.0000	0.0252	1.6023	15.7042	4.7156	2.6426
NA20754	EUR	EUR	0.0000	0.0000	0.0056	0.0000	0.9944	-1.6910	-11.3215	-2.6123	-7.9579	9.2896
HG01953	AMR	AMR	0.0000	0.0000	1.0000	0.0000	0.0000	7.0013	20.6313	-19.6026	35.7610	2.9275
NA19658	AMR	AMR	0.0000	0.0000	1.0000	0.0000	0.0000	1.2970	-2.2394	-7.6181	5.1981	2.9990
HG03611	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.5019	11.2813	19.2388	5.7632	6.6552
HG02772	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-61.8253	17.1412	2.6667	-1.1430	2.0344
HG02570	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-62.3329	16.6472	2.1898	0.4759	2.5546
HG03771	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-0.2657	9.5320	21.1296	7.1046	1.6683
NA11881	EUR	EUR	0.0000	0.0000	0.0008	0.0000	0.9992	-0.6303	-13.9359	-2.7009	-7.5080	-0.3161
HG00662	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	7.9634	43.7892	1.3367	-6.5685	5.8501
HG02351	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	7.1498	42.9758	0.9230	-7.1736	8.1053
HG02178	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	7.2043	43.8514	2.7203	-7.9253	7.5826
NA19375	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-57.9237	15.4112	4.2620	-0.9229	2.9240
HG02734	SAS	SAS	0.0000	0.0022	0.0000	0.9977	0.0000	-1.8829	1.0805	13.9472	3.8066	3.2585
HG01608	EUR	EUR	0.0000	0.0000	0.0081	0.0000	0.9918	-1.7852	-11.1177	-3.2587	-8.7214	3.9703
HG03653	SAS	SAS	0.0000	0.0001	0.0000	0.9999	0.0000	-2.5428	4.3195	19.3167	5.0832	1.5267
HG00181	EUR	EUR	0.0000	0.0000	0.0022	0.0000	0.9977	0.3406	-9.6723	-2.3396	-7.4339	-1.6292
HG03950	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-1.5997	7.9698	22.1870	5.7810	1.7352
HG00274	EUR	EUR	0.0000	0.0000	0.0002	0.0000	0.9998	1.2789	-11.8363	-2.6246	-8.0211	-4.9447
HG02561	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-60.8347	16.2201	3.6221	-1.4725	1.6628
NA20819	EUR	EUR	0.0000	0.0000	0.0035	0.0000	0.9965	-0.2224	-11.6965	-2.8945	-8.1210	5.8547
HG00328	EUR	EUR	0.0000	0.0000	0.0016	0.0000	0.9984	0.9878	-10.8507	-4.2698	-7.6747	-3.1758
HG02536	AFR	AFR	0.0000	0.9996	0.0004	0.0000	0.0000	-51.1003	11.3002	0.9572	-1.7423	1.3458
NA20544	EUR	EUR	0.0000	0.0000	0.0002	0.0000	0.9998	-0.8144	-12.8145	-1.3871	-9.1172	2.6624
HG04098	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-0.4316	6.9026	21.6775	4.6784	2.0858
HG03698	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-0.2425	6.9766	22.0389	6.1257	3.8567
HG03652	SAS	SAS	0.0000	0.0001	0.0000	0.9999	0.0000	-2.0624	4.2225	19.2699	4.2891	2.4947
NA19315	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-58.1582	14.3214	2.8850	-1.8005	-1.0539
HG00253	EUR	EUR	0.0000	0.0000	0.0002	0.0000	0.9998	0.8839	-13.4958	-2.3355	-8.5798	-0.4111
HG00625	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	8.0382	44.3818	1.8301	-7.1018	2.9595
HG01257	AMR	AMR	0.0000	0.0000	1.0000	0.0000	0.0000	1.0539	-4.2714	-7.4912	4.1208	2.0776
NA20869	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-0.2389	5.2420	20.1493	7.7185	2.5867
HG03304	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-62.4281	17.5001	1.5168	-0.3630	3.0658
NA19777	AMR	AMR	0.0000	0.0575	0.9424	0.0000	0.0000	-3.8924	6.6023	-9.3256	11.5591	1.6133
NA12717	EUR	EUR	0.0000	0.0000	0.0035	0.0000	0.9965	-1.1572	-13.2960	-3.1770	-8.7140	4.4694
NA12749	EUR	EUR	0.0000	0.0000	0.0211	0.0000	0.9789	0.1017	-12.9213	-3.7243	-7.2169	0.8113
